시도교육청,교육지원청,학교명,설립구분,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,작은학교여부,지역(시),지역(구)
서울특별시교육청,서울특별시강남서초교육지원청,서울교육대학교부설초등학교,국립,4,4,4,5,5,5,1,0,28,611,21.8,0,서울특별시,서초구
서울특별시교육청,서울특별시중부교육지원청,서울대학교사범대학부설초등학교,국립,5,5,5,5,5,5,1,0,31,576,18.6,0,서울특별시,종로구
서울특별시교육청,서울특별시강남서초교육지원청,서울개원초등학교,공립,7,4,5,4,5,4,1,0,30,868,28.9,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울개일초등학교,공립,5,5,6,5,6,6,0,0,33,967,29.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울개포초등학교,공립,8,7,6,7,7,7,2,0,44,903,20.5,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울구룡초등학교,공립,4,5,5,5,5,6,2,0,32,628,19.6,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울논현초등학교,공립,2,2,2,2,2,3,2,0,15,227,15.1,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대곡초등학교,공립,6,5,7,7,10,12,1,0,48,1244,25.9,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대도초등학교,공립,9,8,8,10,12,15,0,0,62,2038,32.9,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대모초등학교,공립,4,5,5,5,6,6,1,0,32,827,25.8,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대왕초등학교,공립,4,3,4,4,4,5,2,0,26,499,19.2,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대진초등학교,공립,2,2,3,2,2,3,2,0,16,219,13.7,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대청초등학교,공립,2,1,2,2,1,1,2,0,11,92,8.4,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대치초등학교,공립,5,6,6,8,11,12,0,0,48,1525,31.8,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울대현초등학교,공립,4,4,6,6,7,9,2,0,38,1117,29.4,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울도곡초등학교,공립,4,5,6,6,7,8,2,0,38,860,22.6,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울도성초등학교,공립,7,7,9,10,11,13,1,0,58,1759,30.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울반원초등학교,공립,9,8,8,9,9,10,0,0,53,1315,24.8,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울방배초등학교,공립,4,5,5,6,6,7,2,0,35,769,22.0,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울방일초등학교,공립,6,6,7,6,6,6,1,0,38,918,24.2,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울방현초등학교,공립,1,2,2,2,2,3,0,0,12,188,15.7,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울봉은초등학교,공립,4,3,4,3,4,4,0,0,22,409,18.6,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울삼릉초등학교,공립,4,4,3,4,4,4,1,0,24,486,20.3,0,서울특별시,강남구
서울특별시교육청,서울특별시강남서초교육지원청,서울서래초등학교,공립,6,6,7,8,8,10,2,0,47,1255,26.7,0,서울특별시,서초구
서울특별시교육청,서울특별시강남서초교육지원청,서울서원초등학교,공립,8,8,9,8,9,9,2,0,53,1596,30.1,0,서울특별시,서초구
