"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","4","4","5","5","5","1","0","28(1)","611(5)","21.8"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","5","5","5","5","5","1","0","31(1)","576(6)","18.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","7","4","5","4","5","4","1","0","30(1)","868(8)","28.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","5","5","6","5","6","6","0","0","33(0)","967(0)","29.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","8","7","6","7","7","7","2","0","44(2)","903(4)","20.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","4","5","5","5","5","6","2","0","32(2)","628(14)","19.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","2","2","2","2","2","3","2","0","15(2)","227(11)","15.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","6","5","7","7","10","12","1","0","48(1)","1244(4)","25.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","9","8","8","10","12","15","0","0","62(0)","2038(0)","32.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","4","5","5","5","6","6","1","0","32(1)","827(7)","25.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","4","3","4","4","4","5","2","0","26(2)","499(5)","19.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","2","3","2","2","3","2","0","16(2)","219(5)","13.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","2","1","2","2","1","1","2","0","11(2)","92(11)","8.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","5","6","6","8","11","12","0","0","48(0)","1525(0)","31.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","4","4","6","6","7","9","2","0","38(2)","1117(6)","29.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","4","5","6","6","7","8","2","0","38(2)","860(8)","22.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","7","7","9","10","11","13","1","0","58(1)","1759(3)","30.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","9","8","8","9","9","10","0","0","53(0)","1315(0)","24.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","4","5","5","6","6","7","2","0","35(2)","769(14)","22"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","6","6","7","6","6","6","1","0","38(1)","918(6)","24.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","1","2","2","2","2","3","0","0","12(0)","188(0)","15.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","4","3","4","3","4","4","0","0","22(0)","409(0)","18.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","4","4","3","4","4","4","1","0","24(1)","486(5)","20.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","6","6","7","8","8","10","2","0","47(2)","1255(9)","26.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","8","8","9","8","9","9","2","0","53(2)","1596(12)","30.1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","8","8","8","8","7","9","0","0","48(0)","1293(0)","26.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","4","3","4","4","4","4","1","0","24(1)","468(6)","19.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","4","5","6","7","7","7","2","0","38(2)","930(8)","24.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","2","1","2","1","2","2","2","0","12(2)","126(8)","10.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","3","3","4","3","4","4","2","0","23(2)","443(11)","19.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","7","7","7","8","9","11","0","0","49(0)","1141(0)","23.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","6","5","6","6","6","7","1","0","37(1)","808(5)","21.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","6","6","6","6","6","7","0","0","37(0)","826(0)","22.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","3","3","3","4","5","5","2","0","25(2)","448(9)","17.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","2","2","3","3","3","4","1","0","18(1)","329(7)","18.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","6","6","7","9","8","8","3","0","47(3)","973(15)","20.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","8","8","10","10","10","13","2","0","61(2)","1539(12)","25.2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","6","7","8","9","11","11","2","0","54(2)","1370(13)","25.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","2","2","3","3","3","3","2","0","18(2)","311(9)","17.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","2","2","3","2","3","2","2","0","16(2)","264(11)","16.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","4","5","6","5","6","7","2","0","35(2)","815(10)","23.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","2","2","2","2","2","2","2","0","14(2)","220(6)","15.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","7","7","7","7","7","8","0","0","43(0)","1147(0)","26.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","7","6","8","7","7","8","2","0","45(2)","1006(12)","22.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","4","4","4","4","5","4","2","0","27(2)","506(10)","18.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","8","8","8","8","9","10","1","0","52(1)","1381(6)","26.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","12","8","11","10","10","13","0","0","64(0)","1881(0)","29.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","4","4","4","4","3","3","0","0","22(0)","462(0)","21"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","3","4","4","4","4","4","1","0","24(1)","455(7)","19"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","N","","3","3","3","4","4","4","0","0","21(0)","431(0)","20.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000897","서울가동초등학교","02","공립","N","","5","5","5","6","6","7","1","0","35(1)","745(2)","21.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000898","서울가락초등학교","02","공립","N","","10","9","8","8","8","10","1","0","54(1)","1229(6)","22.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000899","서울가원초등학교","02","공립","N","","5","5","4","5","5","4","0","0","28(0)","623(0)","22.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000900","서울가주초등학교","02","공립","N","","6","6","6","6","5","7","0","0","36(0)","790(0)","21.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","8","8","8","8","8","8","1","0","49(1)","1200(8)","24.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000902","서울강동초등학교","02","공립","N","","5","4","4","4","4","4","2","0","27(2)","514(8)","19"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000903","서울강일초등학교","02","공립","N","","4","4","5","5","5","6","2","0","31(2)","609(4)","19.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000904","서울거여초등학교","02","공립","N","","7","6","5","4","5","5","2","0","34(2)","706(14)","20.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000905","서울거원초등학교","02","공립","N","","5","4","5","4","4","6","2","0","30(2)","595(11)","19.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000906","서울고덕초등학교","02","공립","N","","5","5","4","4","4","4","2","0","28(2)","612(9)","21.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000907","서울고명초등학교","02","공립","N","","5","6","6","6","5","6","0","0","34(0)","807(0)","23.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000908","서울고일초등학교","02","공립","N","","12","11","11","12","10","11","1","0","68(1)","1900(3)","27.9"
