시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,시도코드,시도명,시군구코드,시군구명,폐교명,폐교연도,학교급구분명,활용현황구분명,건물연면적,대지,담당자 부서명,담당자 전화번호,소재지도로명주소,소재지지번주소,데이터기준일자
8490000,전라남도교육청,8631000,강진교육지원청,46,전라남도,810,강진군,강진서초영파분교장,1991,초등학교,미활용,0,9250,재정과,061-260-0792,전라남도 강진군 강진읍 영파길 206,전라남도 강진군 강진읍 영파리 565,2024-09-10
8490000,전라남도교육청,8631000,강진교육지원청,46,전라남도,810,강진군,강진북초등학교,2024,초등학교,미활용,2346,20534,재정과,061-260-0792,전라남도 강진군 강진읍,전라남도 강진군 강진읍 서산리 252-10,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,과역동초백일분교장,2007,초등학교,미활용,211,5056,재정과,061-260-0792,,전라남도 고흥군 과역면 백일리 산908,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,나로고등학교,2014,고등학교,미활용,3473,21377,재정과,061-260-0792,전라남도 고흥군 봉래면 종고길 34,전라남도 고흥군 봉래면 신금리 838,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,동강초매곡분교장,1997,초등학교,미활용,1130,13278,재정과,061-260-0792,전라남도 고흥군 동강면 원매곡길 3-6,전라남도 고흥군 동강면 매곡리 413,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,포두초포두동분교장,1995,초등학교,대부,639,98475,재정과,061-260-0792,전라남도 고흥군 포두면 외산길 8-23,전라남도 고흥군 포두면 차동리 1183,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,흥양초등학교,1998,초등학교,대부,1223,16642,재정과,061-260-0792,전라남도 고흥군 도화면 문안길 28,전라남도 고흥군 도화면 신호리 287-1,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,대서서초등학교,1999,초등학교,대부,0,14223,재정과,061-260-0792,전라남도 고흥군 대서면 축동길 84-1,전라남도 고흥군 대서면 남정리 550,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,남성초등학교,1999,초등학교,대부,1514,14931,재정과,061-260-0792,전라남도 고흥군 포두면 천마로 3481-5,전라남도 고흥군 포두면 남성리 461,2024-09-10
8490000,전라남도교육청,8591000,고흥교육지원청,46,전라남도,770,고흥군,두원북초등학교,1999,초등학교,대부,933,18460,재정과,061-260-0792,전라남도 고흥군 두원면 두원구룡길 10,전라남도 고흥군 두원면 용당리 233,2024-09-10
