시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
B10,서울특별시교육청,강남구,학원,3000038262,더알고리즘(The Rgorithm)학원,20210118,20210118,개원,        ,99991231,450,47,정보,정보,"정보교과,",정보교과, ,Y,N,서울특별시 강남구 압구정로 156,", 207호 (신사동, 카로시티2빌딩)",6030,02-514-3697,20231018
B10,서울특별시교육청,강남구,학원,3000043235,로그엔코딩학원,20230206,20230206,개원,        ,99991231,490,67,정보,정보,정보교과,정보교과, ,Y,N,서울특별시 강남구 언주로174길 17,", 3층 일부 북동측호 (신사동)",6017,02-540-1628,20241215
B10,서울특별시교육청,강동구,학원,3000051438,알콤학원,20241118,20241118,개원,        ,        ,49,49,정보,,,, ,Y, ,서울특별시 강동구 풍성로54길 56,3층 (성내동),5403,,20241215
B10,서울특별시교육청,강북구,교습소,3000050952,코리코딩교습소,20240816,20240816,개원,        ,        ,0,5,정보,,,, ,Y, ,서울특별시 강북구 솔샘로 167,벽산라이브파크 상가동 129-1호(미아동),1191,02-0000-0000,20240908
B10,서울특별시교육청,광진구,학원,3000051233,디랩코딩광진학원,20241011,20241011,개원,        ,        ,0,66,정보,정보,정보,정보, ,Y, ,서울특별시 광진구 광나루로54길 32,4층(구의동),5117,02-0000-0000,20241215
B10,서울특별시교육청,광진구,학원,3000034359,스타랩코딩학원,20190501,20221228,개원,        ,99991231,705,47,정보,정보,,정보교과, ,Y,N,서울특별시 광진구 광나루로 602,", 2층 201호 (구의동) (구의동, 대한빌딩)",5034,02-444-1854,20240128
B10,서울특별시교육청,광진구,교습소,3000042754,코딩하루교습소,20221201,20221201,개원,        ,99991231,42,6,정보,정보,Level6,정보교과,"Level6:160000, 심화:300000, 특강1:50000, 특강2:100000, 특강3:200000, 사고력기초:80000, Level1:100000, Level2:120000, Level3:140000, Level4:140000, Level5:160000",Y,N,서울특별시 광진구 천호대로111길 35,", 1층 (중곡동)",4928,02-0000-0000,20241215
B10,서울특별시교육청,구로구,교습소,3000040597,플레이코딩랩코딩교습소,20220105,20220105,개원,        ,99991231,30,5,정보,정보,,정보교과,"컴퓨터기초(일50분*주1회*4주):60000, 문서(일50분*주1회*4주):60000, 자격증1(DIAT)(일50분*주1회*4주):80000, 자격증2(ITQ)(일50분*주1회*4주):100000, 블럭코딩(일50분*주1회*4주):60000, 블럭코딩(일80분*주1회*4주):80000, 피지컬코딩(일80분*주1회*4주):80000, 로봇코딩(일80분*주1회*4주):80000, 메이커코딩(일80분*주1회*4주):80000, 텍스트코딩(일50분*주1회*4주):100000, 블럭코딩(일65분*주2회*4.2주):100000, 피지컬코딩(일80분*주2회*4.2주):120000, 텍스트코딩(일80분*주2회*4.2주):120000, 메이커코딩(일65분*주2회*4.2주):100000, 로봇코딩(일65분*주2회*4.2주):100000, 자격증코딩(일80분*주2회*4.2주):120000",Y,N,서울특별시 구로구 오리로 1197,", 상가동 208호 (오류동, 금강수목원아파트)",8358,02-6953-6242,20231018
B10,서울특별시교육청,노원구,교습소,3000049035,라온창의코딩교습소,20240320,20240320,개원,        ,        ,0,7,정보,,,, ,Y, ,서울특별시 노원구 동일로 1530,", 3층 302호 일부 (상계동, 다모아빌딩)",1674,,20240908
B10,서울특별시교육청,노원구,교습소,3000049002,제이와이(JY)컴퓨터교습소,20240315,20240315,개원,        ,        ,0,5,정보,정보,코딩단과반 (초등),정보,"코딩단과반 (초등):100000, 프로젝트반 (초등):100000, SW자격반 (초중고등):130000, OA자격반 (초중고등):130000, 중등반:100000, 대회준비반 (초중고등):260000",Y, ,서울특별시 노원구 한글비석로 396,", 108동 복합상가 2층 22호 (상계동,벽산아파트)",1663,,20240428
B10,서울특별시교육청,노원구,교습소,3000037447,컴벤져스컴퓨터교습소,20200904,20200904,개원,        ,99991231,70,7,정보,정보,초등A,정보교과,"초등A:90000, 초등B:180000, 초등C:270000, 중등A:100000, 중등B:200000, 중등C:300000, 고등A:125000, 고등B:250000, 고등C:375000",Y,N,서울특별시 노원구 한글비석로 242,", 204호 (중계동, 삼부프라자)",1734,00-000-0000,20231119
