번호,급,지역,기관명,홈페이지,우편번호,설립,구분,주소,전화,FAX,위도,경도
1415,초등학교,목포시,목포서산초등학교,http://mokposeosan.es.jne.kr,58758,공립,본교,"전라남도 목포시 유달로 28 (서산동,목포서산초등학교)",061-245-4725,061-245-4133,34.78209433,126.374877
1414,초등학교,목포시,목포서산초등학교충무분교장,http://mokposeosan.es.jne.kr,58762,공립,분교,"전라남도 목포시 고하도길 91 (달동,목포서산초등학교충무분교)",061-246-2004,061-246-2044,34.76205548,126.3673998
1413,초등학교,목포시,목포서해초등학교,http://mokposeohae.es.jne.kr,58633,공립,본교,"전라남도 목포시 연산로 148 , 목포서해초등학교",061-279-5708,061-279-5709,34.810466,126.3811022
1412,초등학교,목포시,목포석현초등학교,http://mpsh.es.jne.kr,58656,공립,본교,전라남도 목포시 옥암로 186번길 20 목포석현초등학교 (옥암동),061-285-9907,061-285-9906,34.81497325,126.4245026
1411,초등학교,목포시,목포신흥초등학교,http://mokposhinhung.es.jne.kr,58694,공립,본교,"전라남도 목포시 교육로 10 (상동,목포신흥초등학교)",061-281-7541,061-281-7543,34.79940507,126.4246589
1410,초등학교,목포시,목포애향초등학교,http://mpah.es.jne.kr,58674,공립,본교,"전라남도 목포시 당가두로38번길 23 (옥암동,애향초등학교)",061-801-7000,061-801-7005,34.80884727,126.4415067
1409,초등학교,목포시,목포연동초등학교,http://mokpoyeondong.es.jne.kr,58732,공립,본교,"전라남도 목포시 연동로17번길 9 (산정동,연동초등학교)",061-278-7102,061-272-3868,34.79682384,126.3949942
1408,초등학교,목포시,목포연산초등학교,http://mokpoyeonsan.es.jne.kr,58633,공립,본교,"전라남도 목포시 원산중앙로 88 , 목포연산초등학교",061-273-4172,061-273-4190,34.81092222,126.3807709
1407,초등학교,목포시,목포영산초등학교,http://mpys.es.jne.kr,58679,공립,본교,"전라남도 목포시 남악1로16번길 25 (옥암동,목포영산초등학교)",061-287-7802,061-287-7807,34.80804584,126.4499971
1406,초등학교,목포시,목포옥암초등학교,http://mokpoogam.es.jne.kr,58676,공립,본교,"전라남도 목포시 남악1로52번길 68-3 (옥암동,목포옥암초등학교)",061-287-0354,061-287-0358,34.81132584,126.4529568
1405,초등학교,목포시,목포용해초등학교,http://yonghae.es.jne.kr,58610,공립,본교,"전라남도 목포시 포미로 35 , 목포용해초등학교",061-279-0092,061-279-0096,34.81858262,126.396995
1404,초등학교,목포시,목포용호초등학교,http://mokpoyongho.es.jne.kr,58705,공립,본교,"전라남도 목포시 용당로 139 (용당동,용호초등학교)",061-800-5100,061-800-5199,34.79969443,126.4009353
1403,초등학교,목포시,목포유달초등학교,http://mokpoyudal.es.jne.kr,58755,공립,본교,"전라남도 목포시 영산로10번길 10 (유달동,목포유달초등학교)",061-244-0407,061-244-9766,34.78528381,126.3795248
1402,초등학교,목포시,목포유달초등학교달리분교장,http://mokpoyudal.es.jne.kr,58761,공립,분교,"전라남도 목포시 달리길157번길 35 (달동,유달초등학교달리분교)",061-246-2002,061-244-9766,34.77492772,126.3135412
1401,초등학교,목포시,목포유달초등학교율도분교장,http://mokpoyudal.es.jne.kr,58760,공립,분교,"전라남도 목포시 율도길 88 , 목포유달초등학교율도분교장",061-244-0407,061-244-9766,34.80353208,126.3227984
1400,초등학교,목포시,목포이로초등학교,http://mokpoiro.es.jne.kr,58701,공립,본교,"전라남도 목포시 이로로9번길 3 (용해동,식수대)",061-274-0130,061-272-5543,34.80511723,126.4068236
1399,초등학교,목포시,목포임성초등학교,http://mokpoimsung.es.jne.kr,58605,공립,본교,전라남도 목포시 신지마을1길 41 목포임성초등학교,061-283-5531,061-283-7218,34.82462985,126.4354625
1398,초등학교,목포시,목포중앙초등학교,http://mokpojungang.es.jne.kr,58722,공립,본교,"전라남도 목포시 청호로 11 (호남동,중앙초등학교)",061-244-3571,061-244-3574,34.79530168,126.3855164
1397,초등학교,목포시,목포청호초등학교,http://mokpocheongho.es.jne.kr,58663,공립,본교,"전라남도 목포시 옥암로96번길 25 (옥암동,목포청호초등학교)",061-281-6984,061-281-6986,34.8102911,126.4278794
1396,초등학교,목포시,목포하당초등학교,http://mokpohadang.es.jne.kr,58666,공립,본교,"전라남도 목포시 백년대로307번길 27 (상동,목포하당초등학교)",061-283-0144,061-281-1866,34.80668388,126.4191616
1395,초등학교,목포시,목포한빛초등학교,http://mokpohanbit.es.jne.kr,58690,공립,본교,"전라남도 목포시 교육로66번길 22 (상동,한빛초등학교)",061-284-5322,061-284-5324,34.80355116,126.4223046
1394,초등학교,목포시,목포항도초등학교,http://mphangdo.es.jne.kr/,58617,공립,본교,"전라남도 목포시 텃골로33번길 94-8 (상동,목포항도초등학교)",061-285-0371,061-285-0370,34.81619537,126.4153918
1377,초등학교,무안군,남악초등학교,http://namak.es.jne.kr,58568,공립,본교,"전라남도 무안군 삼향읍 남악영산길 6 (삼향읍,남악초등학교)",061-282-7965,061-282-7968,34.81277088,126.4740364
1376,초등학교,무안군,망운초등학교,http://mangun.es.jne.kr,58534,공립,본교,"전라남도 무안군 망운면 망운로 34 (망운면,망운초등학교)",061-452-1055,061-452-1837,35.01627831,126.393733
1375,초등학교,무안군,몽탄초등학교,http://mongtan.es.jne.kr,58546,공립,본교,"전라남도 무안군 몽탄면 몽탄로 878 (몽탄면,몽탄초교)",061-452-3015,061-453-1720,34.92937501,126.5015002
1374,초등학교,무안군,삼향동초등학교,http://samhyangdong.es.jne.kr,58562,공립,본교,"전라남도 무안군 삼향읍 극포길 25 (삼향읍,삼향동초등학교)",061-281-9502,061-281-9740,34.83797191,126.4777551
1373,초등학교,무안군,삼향북초등학교,http://sambuk.es.jne.kr,58558,공립,본교,"전라남도 무안군 삼향읍 원지산길 66 (삼향읍,삼향북초등학교)",061-282-4539,061-282-8066,34.87964218,126.4198651
1372,초등학교,무안군,삼향초등학교,http://samhyang.es.jne.kr,58561,공립,본교,"전라남도 무안군 삼향읍 삼향중앙로 84 (삼향읍,삼향초등학교)",061-282-1897,061-281-9921,34.84241361,126.4333687
1371,초등학교,무안군,오룡초등학교,http://oryong.es.jne.kr,58578,공립,본교,전라남도 무안군 삼향읍 남악5로22번길 34 오룡초등학교,061-281-6183,061-281-6186,34.80711667,126.4747237
1370,초등학교,무안군,운남초등학교,http://unnam.es.jne.kr,58537,공립,본교,"전라남도 무안군 운남면 운해로 543 (운남면,운남초등학교)",061-453-2088,061-453-2799,34.95953794,126.3382734
1369,초등학교,무안군,일로동초등학교,http://illodong.es.jne.kr,58570,공립,본교,"전라남도 무안군 일로읍 광암길 81-7 (일로읍,일로동초교)",061-281-9228,061-282-8174,34.87289919,126.5089418
1368,초등학교,무안군,일로초등학교,http://illo.es.jne.kr,58574,공립,본교,"전라남도 무안군 일로읍 일로로 69 (일로읍,일로초등학교)",061-281-3043,061-282-8302,34.85125139,126.4939985
1367,초등학교,무안군,일로초등학교청망분교장,http://illo.es.jne.kr,58577,공립,분교,"전라남도 무안군 일로읍 청포로 421 (일로읍,일로초교청망분교장)",061-282-0428,061-282-8302,34.79300776,126.5030085
1366,초등학교,무안군,청계남초등학교,http://cheonggyenam.es.jne.kr,58555,공립,본교,"전라남도 무안군 청계면 문화로 105 (청계면,청계남초등학교)",061-452-0065,061-452-6720,34.88436085,126.4372989
1365,초등학교,무안군,청계북초등학교,http://cheonggyebuk.es.jne.kr,58545,공립,본교,"전라남도 무안군 청계면 사마길 8 (청계면,청계북초등학교)",061-454-4572,061-454-3866,34.95758395,126.4464073
1364,초등학교,무안군,청계초등학교,http://cheonggye.es.jne.kr,58541,공립,본교,"전라남도 무안군 청계면 영산로 1870 , 청계초등학교",061-454-5073,061-454-5077,34.92598544,126.4293014
1363,초등학교,무안군,해제남초등학교,http://haejenam.es.jne.kr,58508,공립,본교,"전라남도 무안군 해제면 돌기길 5 (해제면,해제남초등학교)",061-452-6377,061-453-7230,35.08244469,126.2955581
1362,초등학교,무안군,해제초등학교,http://haeje.es.jne.kr,58502,공립,본교,"전라남도 무안군 해제면 양간로 77 (해제면,해제초등학교)",061-452-2213,061-452-7004,35.11476397,126.2962892
1361,초등학교,무안군,현경북초등학교,http://hyeongyeongbuk.es.jne.kr,58509,공립,본교,"전라남도 무안군 현경면 현해로 757 (현경면,현경북초등학교)",061-452-2214,061-453-7160,35.05993415,126.3609451
1360,초등학교,무안군,현경초등학교,http://hyeongyeong.es.jne.kr,58512,공립,본교,"전라남도 무안군 현경면 황토길 17 (현경면,현경초등학교)",061-452-2198,061-452-9841,35.01985554,126.4144192
1359,초등학교,무안군,무안초등학교,http://muan.es.jne.kr,58524,공립,본교,"전라남도 무안군 무안읍 면성2길 30 (무안읍,무안초등학교)",061-452-9700,061-452-0092,34.99136012,126.4764629
1348,초등학교,보성군,겸백초등학교,http://gyeombaek.es.jne.kr,59411,공립,본교,전라남도 보성군 겸백면 충의로 2496 겸백초등학교,061-853-6369,061-853-9482,34.83142371,127.1510838
1347,초등학교,보성군,낙성초등학교,http://nakseong.es.jne.kr,59413,공립,본교,"전라남도 보성군 벌교읍 채동선로 706 , 낙성초등학교",061-857-0933,061-857-8782,34.87688234,127.3137965
1346,초등학교,광양시,광양중동초등학교,http://gyjdong.es.jne.kr,57794,공립,본교,"전라남도 광양시 광장로 112-6 (중동,광양중동초등학교)",061-798-9371,061-791-8620,34.93330753,127.6960195
1345,초등학교,광양시,광양중마초등학교,http://gyjma.es.jne.kr,57781,공립,본교,"전라남도 광양시 구마9길 33 (중동,광양중마초등학교)",061-797-1207,061-797-1298,34.94744403,127.6859801
1344,초등학교,광양시,광양중앙초등학교,http://gyjang.es.jne.kr,57777,공립,본교,"전라남도 광양시 불무길 15 (중동,광양중앙초등학교)",061-791-2319,061-791-2321,34.94565092,127.6938075
1343,초등학교,광양시,광양중진초등학교,http://jungjin.es.jne.kr,57791,공립,본교,"전라남도 광양시 광장로 75 (중동,광양중진초등학교)",061-797-0490,061-794-7329,34.93270961,127.6927616
