CID,AGE,등록(계/피),고용상태,성별,Willingness to pay/Stay,갱신,상품타입,교육수준,소득,지역,결혼여부,월 납입액,VOC,타 상품 보유 현황,온라인방문빈도,갱신인센티브,판매채널,총지불금액,자동차,거주지사이즈
1,3,피보험자,무직,1,2.616381,0,기본,대학졸업,0,도시근교,미혼,80,0,1,자주방문,없음,자사영업,631000,일반세단,소
2,1,계약자,고용,0,6.35253,0,기본,고졸이하,102887400,시골,미혼,80,1,4이상,비방문,포인트,인터넷,54000,일반세단,중
3,2,계약자,휴직,0,4.974354,0,기본,대학졸업,22159500,도시근교,기혼,60,0,4이상,비방문,할인,자사영업,362000,일반세단,중
4,5,계약자,고용,1,13.480284,0,고급,고졸이하,51562500,도시근교,기혼,110,0,2,비방문,할인,자사영업,1264000,컴팩트카,대
5,4,계약자,고용,0,9.776436,0,기본,석사,26820200,도시근교,기혼,120,0,3,비방문,없음,대리점,947000,SUV,중
6,3,피보험자,고용,0,8.376726,0,기본,고졸이하,61046700,시골,기혼,70,0,2,자주방문,설계사독려,자사영업,3000,컴팩트카,중
7,3,계약자,휴직,0,6.02952,0,기본,대학졸업,15756400,도시근교,기혼,70,0,4이상,비방문,할인,콜센터,439000,일반세단,중
8,1,계약자,고용,1,3.725382,0,중급,고졸이하,128436000,시골,기혼,90,0,1,비방문,포인트,인터넷,40000,일반세단,중
9,3,계약자,고용,1,9.754902,0,기본,대학졸업,56500400,시골,기혼,130,1,4이상,비방문,할인,콜센터,125000,SUV,중
10,2,계약자,무직,0,7.396929,0,기본,대학졸업,0,시골,미혼,60,0,2,비방문,할인,대리점,50000,컴팩트카,중
11,3,계약자,무직,0,2.864022,1,중급,대학졸업,0,도시근교,미혼,90,3,1,비방문,설계사독려,대리점,519000,일반세단,중
12,1,계약자,고용,1,13.275711,0,기본,대학졸업,113402300,시골,기혼,110,2,2,비방문,할인,대리점,151000,스포츠카,중
13,3,계약자,무직,1,22.793739,0,중급,고졸이하,0,도시근교,기혼,90,0,2,비방문,설계사독려,자사영업,727000,일반세단,중
14,4,피보험자,고용,1,3.962256,0,중급,고졸이하,41439200,도시근교,기혼,100,0,1,자주방문,없음,자사영업,551000,일반세단,중
15,3,계약자,고용,1,10.573194,1,기본,대학졸업,49248100,시골,기혼,60,0,2,비방문,할인,자사영업,159000,일반세단,중
