ID,제조사,모델,차량상태,배터리용량,구동방식,주행거리(km),보증기간(년),사고이력,연식(년),가격(백만원)
TRAIN_0000,P사,TayGTS,Nearly New,86.077,AWD,13642,0,No,2,159.66
TRAIN_0001,K사,Niro,Nearly New,56.0,FWD,10199,6,No,0,28.01
TRAIN_0002,A사,eT,Brand New,91.2,AWD,2361,7,No,0,66.27
TRAIN_0003,A사,RSeTGT,Nearly New,,AWD,21683,3,No,0,99.16
TRAIN_0004,B사,i5,Pre-Owned,61.018,AWD,178205,1,No,0,62.02
TRAIN_0005,H사,ION6,Pre-Owned,58.162,AWD,103100,3,No,0,37.02
TRAIN_0006,T사,MS,Nearly New,,AWD,19395,3,No,0,83.42
TRAIN_0007,A사,RSeTGT,Nearly New,78.227,AWD,30583,5,No,1,99.66
TRAIN_0008,T사,MY,Brand New,,AWD,2226,8,No,0,74.06
TRAIN_0009,A사,Q4eT,Brand New,,AWD,3683,7,No,0,59.66
TRAIN_0010,K사,Niro,Nearly New,58.982,FWD,10879,8,No,2,28.78
TRAIN_0011,V사,ID4,Brand New,,AWD,1131,8,No,0,40.5
TRAIN_0012,V사,ID4,Nearly New,68.125,AWD,44068,5,No,1,41.21
TRAIN_0013,K사,Niro,Brand New,,AWD,1191,10,Yes,0,21.36
TRAIN_0014,K사,Niro,Nearly New,56.0,FWD,16011,5,No,0,28.87
TRAIN_0015,A사,eT,Brand New,91.2,AWD,5681,7,No,0,66.12
TRAIN_0016,P사,TayCT,Nearly New,76.093,AWD,49335,2,No,0,130.61
TRAIN_0017,K사,Soul,Nearly New,56.0,AWD,28687,6,Yes,0,22.77
TRAIN_0018,T사,MY,Pre-Owned,58.707,AWD,137749,2,No,0,75.86
TRAIN_0019,H사,ION6,Brand New,,AWD,5008,10,No,0,38.81
TRAIN_0020,T사,MS,Brand New,99.8,AWD,1405,8,No,0,63.9
TRAIN_0021,B사,iX,Brand New,,RWD,2889,7,No,0,80.38
TRAIN_0022,T사,MX,Nearly New,,AWD,33126,4,No,0,93.66
TRAIN_0023,K사,Soul,Nearly New,56.0,AWD,27402,6,No,0,23.82
TRAIN_0024,K사,Niro,Nearly New,56.623,FWD,21975,7,No,1,28.65
TRAIN_0025,T사,MS,Nearly New,88.474,AWD,26876,5,No,1,84.47
TRAIN_0026,T사,MY,Brand New,,AWD,185,7,No,0,63.15
TRAIN_0027,H사,ION6,Brand New,,AWD,1975,10,No,0,38.26
TRAIN_0028,T사,MY,Pre-Owned,58.707,AWD,151131,2,No,0,76.51
TRAIN_0029,K사,Soul,Pre-Owned,46.169,AWD,102772,2,No,0,21.92
TRAIN_0030,H사,IONIQ,Nearly New,88.08,FWD,43412,3,No,2,27.53
TRAIN_0031,P사,TayGTS,Pre-Owned,64.683,AWD,97476,2,No,0,151.0
TRAIN_0032,P사,TayCT,Brand New,,AWD,1292,2,No,0,120.08
TRAIN_0033,A사,RSeTGT,Pre-Owned,,AWD,128546,0,No,0,94.79
TRAIN_0034,A사,Q4eT,Pre-Owned,56.788,AWD,59324,0,No,0,55.44
TRAIN_0035,V사,ID4,Nearly New,70.963,AWD,25288,6,No,2,37.18
TRAIN_0036,K사,EV6,Brand New,,AWD,2619,10,No,0,48.47
TRAIN_0037,B사,i5,Brand New,,AWD,6645,8,No,0,64.14
TRAIN_0038,K사,Niro,Nearly New,56.0,FWD,28777,5,No,0,28.77
TRAIN_0039,H사,KNE,Brand New,,FWD,1144,9,No,0,24.02
TRAIN_0040,B사,i5,Brand New,,RWD,6777,8,No,0,65.07
TRAIN_0041,A사,Q4eT,Nearly New,72.548,AWD,38960,5,No,1,57.27
TRAIN_0042,H사,ION6,Brand New,,AWD,8998,10,No,0,39.0
TRAIN_0043,T사,MX,Pre-Owned,,AWD,94747,2,No,0,91.61
TRAIN_0044,B사,i5,Pre-Owned,56.234,RWD,108562,0,No,0,60.59
TRAIN_0045,A사,RSeTGT,Brand New,,AWD,975,7,No,0,100.38
TRAIN_0046,B사,i5,Pre-Owned,58.577,RWD,180683,0,No,0,60.78
TRAIN_0047,K사,Soul,Pre-Owned,46.169,FWD,83876,2,Yes,0,22.39
TRAIN_0048,K사,Niro,Pre-Owned,46.0,AWD,197873,1,No,0,28.37
TRAIN_0049,T사,MX,Brand New,96.0,AWD,7626,7,No,0,77.32
TRAIN_0050,T사,MS,Nearly New,,AWD,26001,4,No,0,82.64
TRAIN_0051,B사,i5,Nearly New,71.841,RWD,47296,5,No,1,60.12
TRAIN_0052,K사,Niro,Nearly New,56.623,FWD,41003,7,No,1,27.69
TRAIN_0053,T사,M3,Brand New,,RWD,5514,8,No,0,54.12
TRAIN_0054,T사,MS,Brand New,96.0,AWD,6658,7,No,0,70.22
TRAIN_0055,B사,i5,Pre-Owned,61.018,RWD,106528,1,No,0,61.91
TRAIN_0056,P사,TayGTS,Brand New,,AWD,9161,2,No,0,160.73
TRAIN_0057,B사,iX,Brand New,,RWD,8279,8,No,0,79.19
TRAIN_0058,P사,TayCT,Pre-Owned,76.093,AWD,110041,2,No,0,124.47
TRAIN_0059,A사,RSeTGT,Brand New,90.0,AWD,1461,8,No,0,100.17
TRAIN_0060,B사,i5,Brand New,,AWD,5550,8,No,0,64.07
TRAIN_0061,T사,MX,Pre-Owned,72.139,AWD,86478,0,No,0,89.01
TRAIN_0062,H사,IONIQ,Nearly New,75.87,FWD,70822,3,No,0,11.12
TRAIN_0063,B사,i3,Nearly New,56.0,RWD,21665,6,No,2,23.89
TRAIN_0064,P사,TayCT,Nearly New,76.093,AWD,41038,0,No,2,119.04
TRAIN_0065,A사,eT,Nearly New,77.46,AWD,17020,3,No,0,74.0
TRAIN_0066,H사,ION5,Pre-Owned,58.162,AWD,121459,3,No,0,35.0
TRAIN_0067,B사,i3,Brand New,,RWD,6173,7,No,0,24.93
TRAIN_0068,P사,TayCT,Nearly New,76.093,AWD,20028,2,No,0,131.9
TRAIN_0069,A사,Q4eT,Pre-Owned,59.154,AWD,84938,0,No,0,55.99
TRAIN_0070,A사,RSeTGT,Brand New,,AWD,6690,7,No,0,100.0
TRAIN_0071,H사,ION5,Brand New,,AWD,4691,10,No,0,35.96
TRAIN_0072,A사,RSeTGT,Pre-Owned,,AWD,193173,1,No,0,97.79
TRAIN_0073,A사,eT,Brand New,91.2,AWD,7031,7,No,0,64.67
TRAIN_0074,V사,ID4,Nearly New,65.4,AWD,14226,4,No,0,40.23
TRAIN_0075,K사,Niro,Brand New,,AWD,6879,10,No,0,21.43
TRAIN_0076,H사,ION6,Nearly New,65.739,AWD,44840,6,No,0,37.12
TRAIN_0077,T사,M3,Brand New,,RWD,1670,8,No,0,54.85
TRAIN_0078,H사,KNE,Nearly New,68.488,FWD,39571,6,No,0,27.07
TRAIN_0079,B사,iX,Brand New,,RWD,90,7,No,0,79.21
TRAIN_0080,H사,ION5,Brand New,90.0,AWD,4071,10,No,0,35.86
TRAIN_0081,K사,Niro,Pre-Owned,50.096,AWD,51091,4,No,0,28.91
TRAIN_0082,A사,eT,Nearly New,77.46,AWD,15126,3,No,0,73.26
TRAIN_0083,A사,RSeTGT,Brand New,90.0,AWD,1497,8,No,0,100.65
TRAIN_0084,H사,KNE,Nearly New,68.488,FWD,17063,8,No,2,27.2
TRAIN_0085,V사,ID4,Brand New,,AWD,5465,8,No,0,41.14
TRAIN_0086,V사,ID4,Nearly New,68.125,AWD,39711,5,No,1,41.77
TRAIN_0087,V사,ID4,Pre-Owned,53.325,AWD,118110,0,No,0,39.72
TRAIN_0088,T사,MS,Pre-Owned,72.139,AWD,194348,0,No,0,79.14
TRAIN_0089,T사,MY,Nearly New,69.12,AWD,11004,6,No,2,68.42
TRAIN_0090,K사,EV6,Brand New,,FWD,847,10,No,0,48.95
TRAIN_0091,K사,Soul,Nearly New,58.982,AWD,48074,8,No,2,22.89
