구분1,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1주간대중교통이용횟수(회),9.92,9.72,9.96,9.64,9.65,9.57,9.55,9.37,9.67,9.25,9.41,9.43,9.22,9.33,9.38,9.35,9.20
한달평균대중교통비용(원),"50,125","50,079","49,998","49,715","50,508","50,940","50,066","50,097","51,317","51,033","49,770","50,400","50,666","51,165","51,246","50,634","50,554"
주이용교통수단_버스(%),31.5,55.1,55.9,49.5,81.9,76.9,100.0,100.0,62.0,98.3,100.0,93.5,100.0,100.0,97.5,94.5,100.0
주이용교통수단_도시철도(%),68.5,44.9,44.1,50.5,18.1,23.1,0,0,38.0,1.7,0,6.5,0,0,2.5,5.5,0
교통카드이용률(%),100,99.7,99.6,99.7,98.9,99.6,99.7,99.9,99.1,90.2,91.6,92.5,94.2,85.1,88.5,92.5,99.0
정보제공서비스이용률(%),96.3,95.5,95.4,96.3,96.8,96.5,96.4,96.6,96.3,96.2,95.8,96.1,95.8,95.5,95.1,95.9,95.6
접근소요시간(분),15.43,15.83,15.74,15.71,16.45,16.27,16.69,16.73,16.20,17.26,17.38,17.21,17.39,17.47,17.26,17.13,17.24
환승서비스이용률(%),90.9,86.4,84.8,90.3,79.1,81.8,78.2,6.3,90.4,12.7,16.2,16.4,10.4,18.4,14.8,14.1,8.1
환승횟수(회),1.58,1.51,1.50,1.51,1.46,1.48,1.52,1.57,1.50,1.46,1.41,1.47,1.47,1.45,1.48,1.48,1.44
환승이동시간(분),5.91,6.14,6.24,6.13,6.14,6.16,6.09,6.46,6.60,7.65,7.39,7.24,7.55,8.16,7.56,7.30,6.8
환승대기시간(분),7.09,6.85,6.58,6.86,6.32,6.36,6.29,8.63,8.36,9.31,9.08,9.09,8.60,9.12,8.96,8.47,8.80
