대분류,개인(사업체총괄 사업체수),회사법인(사업체총괄 사업체수),회사이외법인(사업체총괄 사업체수),비법인(사업체총괄 사업체수),단독(사업체총괄 사업체수),"본사,본점(사업체총괄 사업체수)","공장,지사(사업체총괄 사업체수)",개인(사업체총괄 종사자수),회사법인(사업체총괄 종사자수),회사이외법인(사업체총괄 종사자수),비법인(사업체총괄 종사자수),단독(사업체총괄 종사자수),"본사,본점(사업체총괄 종사자수)","공장,지사(사업체총괄 종사자수)"
"농업, 임업 및 어업", - ,"1,066","1,265",49,"2,181",75,124, - ,"4,138","5,792","1,231","8,513","1,269","1,379"
광업,733,89,6, - ,807,3,18,"1,580",773,194, - ,"2,138",21,388
제조업,"11,362","5,884",845,12,"16,712",473,918,"24,627","98,134","5,739",48,"78,657","14,378","35,513"
"전기, 가스, 증기 및 공기조절 공급업","11,238","1,060",90,3,"12,199",32,160,"11,434","4,446","4,236",3,"12,821","2,967","4,331"
"수도, 하수 및 폐기물 처리, 원료 재생업",251,403,147, - ,699,28,74,530,"4,677","2,538", - ,"5,374",760,"1,611"
건설업,"18,787","7,015",20,3,"24,997",465,363,"24,469","76,962",137,3,"82,867","13,596","5,108"
도매 및 소매업,"46,486","5,702","1,665",50,"51,197",437,"2,269","72,560","26,115","7,927",88,"90,808","2,899","12,983"
운수 및 창고업,"22,499","1,855",220,5,"24,001",111,467,"25,269","23,342","3,651",60,"41,053","3,311","7,958"
숙박 및 음식점업,"35,524",930,275,16,"36,145",81,519,"71,570","7,324","1,142",36,"75,112",615,"4,345"
정보통신업,739,628,322,4,"1,466",52,175,992,"4,823","3,854",4,"6,125","1,376","2,172"
금융 및 보험업,416,697,841,3,515,225,"1,217",596,"10,309","9,478",3,"1,267","4,453","14,666"
부동산업,"2,951","1,797",573,223,"4,885",132,527,"3,366","5,771","4,045",822,"10,120",574,"3,310"
"전문, 과학 및 기술 서비스업","2,816","1,310",388,28,"4,006",153,383,"5,859","10,937","6,448",35,"14,347","4,359","4,573"
"사업시설 관리, 사업 지원 및 임대 서비스업","2,719","1,381",203,37,"3,837",113,390,"5,226","18,110","2,818",76,"18,390","3,397","4,443"
"공공행정, 국방 및 사회보장 행정", - , - ,"1,265", - ,"1,239",5,21, - , - ,"53,967", - ,"53,371",401,195
교육 서비스업,"5,676",250,"1,691",191,"7,443",89,276,"9,366","1,997","44,101","1,032","47,416","2,378","6,702"
보건업 및 사회복지 서비스업,"2,248",44,"2,159","2,122","5,605",248,720,"24,652",679,"44,075","27,014","70,608","5,322","20,490"
"예술, 스포츠 및 여가관련 서비스업","3,985",299,569,296,"4,957",81,111,"6,199","4,751","5,043",493,"14,071",690,"1,725"
"협회 및 단체, 수리 및 기타 개인 서비스업","13,629",322,"5,116","2,977","20,288",692,"1,064","18,612","2,933","9,138","3,958","30,165","1,390","3,086"
