,연도,토지면적(km),전남지역 구성비(%),행정구역 수(시+군),행정구역 수(시),행정구역 수(군),행정구역 수 (읍+면+동),행정구역 수 (읍),행정구역 수 (면),행정구역(동)행정 수,행정구역(동) 법정 수,전지 면적,답지 면적,과수원 면적,목장용지 면적,임  야 면적,광천지 면적,염  전 면적,대  지 면적,공장용지 면적,학교용지 면적,주차장 면적,주유소용지 면적,창고용지 면적,도  로 면적,철도용지 면적,제  방 면적,하  천 면적,구  거 면적,유  지 면적,양어장 면적,수도용지 면적,공  원 면적,체육용지 면적,유원지 면적,종교용지 면적,사적지 면적,묘  지 면적,잡종지 면적,출생(남+여)(연도별),출생(남)(연도별),출생(여)(연도별),사망(남+여)(연도별),사망(남)(연도별),사망(여)(연도별),혼인(연도별),이혼(연도별),65세 이상 고령자 수(연도별),평균연령(세)(연도별),인구밀도(1/m2)(연도별),한국인등록인구(연도별),외국인등록인구(연도별),등록인구총합(연도별),세대당 인구(연도별),"출판, 영상, 방송통신 및 정보서비스업(사업체수)",금융 및 보험업(사업체수),부동산업 및 임대업(사업체수),"전문, 과학 및 기술 서비스업(사업체수)",사업시설관리 및 사업지원 서비스업(사업체수),"공공행정, 국방 및 사회보장행정(사업체수)",교육서비스업(사업체수),보건업 및 사회복지 서비스업(사업체수),"예술, 스포츠 및 여가 관련 서비스업(사업체수)","협회 및 단체, 수리 및 기타 개인서비스업(사업체수)",개인(사업체총괄 사업체수),회사법인(사업체총괄 사업체수),회사이외법인(사업체총괄 사업체수),비법인(사업체총괄 사업체수),단독(사업체총괄 사업체수),"본사,본점(사업체총괄 사업체수)","공장,지사(사업체총괄 사업체수)",개인(사업체총괄 종사자수),회사법인(사업체총괄 종사자수),회사이외법인(사업체총괄 종사자수),비법인(사업체총괄 종사자수),단독(사업체총괄 종사자수),"본사,본점(사업체총괄 종사자수)","공장,지사(사업체총괄 종사자수)","출판, 영상, 방송통신 및 정보서비스업(종사자수)",금융 및 보험업(종사자수),부동산업 및 임대업(종사자수),"전문, 과학 및 기술 서비스업(종사자수)",사업시설관리 및 사업지원 서비스업(종사자수),"공공행정, 국방 및 사회보장행정(종사자수)",교육서비스업(종사자수),보건업 및 사회복지 서비스업(종사자수),"예술, 스포츠 및 여가 관련 서비스업(종사자수)","협회 및 단체, 수리 및 기타 개인서비스업(종사자수)",일시수용능력인원(사설학원),강사수(사설학원),강의실수(사설학원),직업기술(평생직업 교육학원 학원수),국제화(평생직업 교육학원 학원수),인문사회(평생직업 교육학원 학원수),기예(평생직업 교육학원 학원수),종합(평생직업 교육학원 학원수),합계(평생직업 교육학원 학원수),입시검정및보습(학교교과 교습학원 학원수),국제화(학교교과 교습학원 학원수),예능(학교교과 교습학원 학원수),특수교육(학교교과 교습학원 학원수),종합(학교교과 교습학원 학원수),정보(학교교과 교습학원 학원수),기타(학교교과 교습학원 학원수),합계(학교교과 교습학원 학원수),폐교학교 수
0,2002,12037,100,22,5,17,240,26,165,69,171,1202015829,2075728619,25504628,64847731,7119998232,361,55658643,253564785,50789449,24087915,152661,316963,932573,334039137,9965504,23587997,207173369,265091438,183996260,1484668,7336338,2947117,5473718,331718,2598030,396713,32383102,86541653,19038,9913,9125,17418,9583,7835,10039,5296,274134,35,171,2054204,5417,2059621,3,516,1691,2040,0,1856,1174,4960,2622,4509,16625,109795.0,6703.0,8720.0,3299.0,4119.0,319.0,2265.0,242842.0,133340.0,107819.0,11960.0,66656.0,7803.0,58881.0,5552,22411,6585,0,13986,28211,44533,20117,10478,34191,87892,4558,5852,271,0,876,0,0,0,0,0,980,0,0.0,0,0,2302.0,2
1,2004,12052,100,22,5,17,240,27,164,70,171,1192979322,2078080574,27170696,64443654,7111131205,408,54544770,257723255,51681738,24428799,360409,877487,2769248,343856086,10244817,24045045,207419005,269146516,187944944,3751734,7523399,3154644,6757670,369323,2901529,396693,32367040,85793095,17109,8992,8117,17009,9436,7573,9675,4915,295568,35,166,1986192,7819,1994011,3,578,1515,1838,0,1820,1202,5171,2784,4498,16671,106922.0,6971.0,8790.0,3352.0,122564.0,562.0,2909.0,225238.0,134126.0,108500.0,11829.0,395756.0,19360.0,64577.0,4652,20085,6227,0,12075,30310,44625,23245,10680,34706,101807,4814,6327,212,0,960,0,0,0,0,0,1033,0,0.0,0,0,2442.0,5
2,2005,12073,100,22,5,17,240,27,164,70,171,1188296841,2085949343,27868185,65536669,7103631369,408,54721346,260229297,53164292,24618739,484459,993236,3212141,352954973,10142608,24535469,207066591,272139191,191167819,4359781,7637938,3238626,9389727,371543,3094737,403549,32398302,85857619,15715,8056,7659,16206,8859,7347,9984,4394,306439,37,164,1967205,9260,1976465,0,635,1546,1934,0,1863,1209,5459,2938,4411,16945,104986.0,7474.0,7870.0,4744.0,121136.0,601.0,3337.0,229368.0,143151.0,116219.0,12178.0,413108.0,17837.0,69971.0,5567,21117,6526,0,13853,33547,48212,25622,11497,34270,104343,5391,7363,212,0,960,0,0,0,0,0,1033,0,0.0,0,0,2519.0,2
3,2006,12095,100,22,5,17,240,27,164,66,171,1184001998,2080798461,28445937,66902402,7098776153,408,54313321,262437977,53651821,24595747,587808,1045309,3627655,360178629,10118450,24886768,226151610,272524370,191654471,4939121,7639581,3296131,9628644,440455,3225767,411431,32379711,88398306,15809,8114,7695,16141,8849,7292,10507,4423,316914,37,162,1942925,11903,1954828,3,661,1560,1881,0,1909,1239,5537,3072,4273,16974,103483.0,8250.0,7973.0,4868.0,120112.0,725.0,3737.0,224522.0,152787.0,116977.0,14072.0,410857.0,24204.0,73297.0,5558,20732,6750,0,14677,34069,49420,27983,11205,34544,107175,5333,7973,153,0,7,0,0,0,1121,203,1014,0,0.0,0,0,2547.0,1
4,2007,12121,100,22,5,17,295,31,198,66,191,1180346903,2081719623,29066086,68732090,7092616057,408,54147154,264470579,54248318,24794926,722430,1139961,4525596,365620154,10099082,25188883,238569430,273164099,192580805,5406822,7658087,3339597,10495728,594251,3385405,1097992,32338684,95373106,17746,9196,8550,15951,8791,7160,10854,4240,332516,38,161,1929836,15126,1944962,3,673,1580,1936,1483,812,1228,6394,3147,3466,16780,102475.0,9010.0,7949.0,5329.0,119788.0,826.0,4149.0,225980.0,158387.0,116942.0,17143.0,417995.0,22696.0,77761.0,6789,20427,7202,7500,9985,34471,50845,31238,9765,31949,108229,5349,8268,142,0,7,0,0,0,1217,242,992,0,0.0,0,0,2637.0,3
5,2008,12213,100,22,5,17,295,31,198,66,191,1176445580,2087396656,29589236,68949369,7084974896,408,53960516,267539967,57220447,24733962,849907,1198622,5381368,375758130,10182302,25504091,242728077,275137596,259517497,5699088,7718906,4501006,12522776,805361,3528354,1097557,32264910,97702275,16363,8435,7928,16018,8863,7155,10480,4021,338407,38,159,1919000,19690,1938690,3,672,1620,1917,1529,844,1191,6060,3722,3462,16905,101497.0,9363.0,7765.0,5661.0,118850.0,945.0,4491.0,225134.0,174363.0,119548.0,16207.0,419269.0,33396.0,82587.0,6780,21744,7032,8853,11000,35072,47358,37924,10371,32225,110754,5274,8311,146,0,15,0,0,0,1240,258,1040,0,0.0,0,0,2727.0,5
6,2009,12233,100,22,5,17,295,31,198,66,191,1171570221,2081322654,30034205,68756215,7074968053,408,53633060,269622699,58057668,24742049,1020893,1228494,6104047,385105268,10165530,25694487,242616350,276398328,280092242,6541317,7727524,4751039,14339363,1124726,3662887,1099404,32223662,100067979,15995,8186,7809,15734,8668,7066,10051,4290,343861,42,158,1913004,21149,1934153,3,683,1643,1904,1573,894,1196,6077,4023,3564,16889,101066.0,10000.0,7818.0,5866.0,118851.0,1097.0,4802.0,227590.0,190386.0,124052.0,18671.0,437635.0,37250.0,85814.0,6412,20983,7358,9824,12727,36613,49125,42067,11168,33298,133127,5972,8462,102,0,19,0,0,0,1296,315,931,0,0.0,0,0,2829.0,7
7,2010,12247,100,22,5,17,295,31,198,66,191,1166429016,2082465768,30377902,68660070,7070746427,408,53569085,272503267,60921856,24906688,1311275,1289851,6840865,390167605,10201229,25857317,243063390,277453808,281538505,7104172,8253992,5530968,14989818,1340355,3860485,1099253,32207286,104132099,16654,8609,8045,16043,8914,7129,10461,4326,350900,42,158,1918485,21970,1940455,2,695,1658,1935,1589,982,1207,6127,4259,3575,16948,100799.0,10674.0,7810.0,6355.0,118622.0,1301.0,5472.0,224530.0,201053.0,124581.0,19761.0,432988.0,47269.0,89668.0,6463,21476,7250,9647,13667,37512,50616,45398,10843,32314,135111,6291,9527,94,0,8,9,0,0,1364,378,907,0,0.0,0,137,4204.0,1
8,2011,12257,100,22,5,17,294,34,194,66,191,1177054659,2078567056,37447083,68814395,7037079923,408,53391931,276146303,63976424,24979136,1459086,1331249,7451286,395641087,10201183,26247519,245403934,277494899,284764276,7506491,8510933,6424276,17859214,1435979,3996012,1099253,32126318,110180260,16612,8448,8164,16090,8895,7195,10266,4138,356349,42,158,1914339,23797,1938136,2,712,1678,2079,1705,1106,1217,6159,4426,3574,17143,153531.5,17134.0,11714.5,9704.0,181367.0,1949.5,8524.5,343537.5,307589.0,189270.0,30510.0,662811.0,69568.5,138527.0,6637,21603,7613,10252,14633,36166,50210,47777,11498,34264,131810,6057,9580,119,0,7,15,0,141,1360,391,862,1,0.0,0,136,2750.0,6
9,2013,12304,100,22,5,17,296,33,196,67,191,1170775100,2077169914,37893736,69211940,7011400166,408,53392710,282403255,73100100,25189691,2546212,1539212,8547693,422100874,9875182,26772470,243824555,279403963,305340433,8079257,8558744,10705570,18264124,1793137,4270945,3462954,31983735,116311247,15401,7819,7582,16332,8971,7361,9995,4096,374565,43,157,1907172,24544,1931716,2,744,1725,2346,1917,1328,1232,6164,4867,3636,17896,107182.0,14284.0,8390.0,7033.0,128938.0,1638.0,6313.0,242640.0,220001.0,136658.0,24502.0,476675.0,46442.0,100684.0,6636,21452,8944,11361,16074,36653,51608,55970,12586,36172,144224,6496,10873,112,0,5,14,0,131,1232,429,814,0,0.0,0,221,2696.0,4
10,2014,12309,100,22,5,17,298,33,197,68,192,1166171818,2067369286,37838042,69384885,7004700410,408,52816325,288503923,78446477,25193682,2847081,1563762,9249502,426713565,11205685,27149834,244944922,279460853,305899425,8269521,9498038,12459812,19310386,2089255,4437789,3470850,31871635,118164717,14817,7533,7284,16053,8770,7283,9357,4135,383808,44,157,1905780,28254,1934034,2,761,1706,2522,2064,1503,1245,6084,5076,3601,17968,110482.0,15953.0,9365.0,7132.0,134484.0,1816.0,6632.0,251081.0,233298.0,146140.0,25699.0,501563.0,49861.0,104794.0,6429,20718,9428,12283,16976,36676,51136,60472,13059,36871,267619,9495,10262,111,0,5,22,0,138,1293,423,825,0,0.0,0,174,2715.0,4
11,2015,12313,100,22,5,17,297,33,196,68,192,1161808905,2057357172,37961104,69473047,6998461282,408,52357595,292127751,79886167,25249865,3048935,1563732,10122616,430248283,12043524,27449860,245170664,279375788,310900632,8494168,9516368,14220215,21908159,2256130,4541521,3474091,31844099,122055354,15061,7725,7336,16543,8824,7719,9275,4033,391837,44,158,1908996,30566,1939562,2,770,1713,2679,2208,1575,1256,6113,5262,3524,18337,114279.0,16285.0,9319.0,7344.0,138936.0,1704.0,6587.0,255404.0,253866.0,154090.0,27106.0,526538.0,54244.0,109684.0,6003,21222,9694,14046,19359,40082,52236,64889,12630,37875,480133,5957,13816,114,2,6,22,10,154,1192,381,739,0,154.0,0,117,2583.0,5
12,2016,12319,100,22,5,17,297,33,196,68,192,1157543129,2048438164,37624955,69557419,6991122886,408,51935335,295533602,84738558,25221041,3280044,1620579,10674607,435602242,12035424,27871202,245268522,278929806,318223671,8826106,9380168,15589304,22733372,2455627,4642310,3483246,31772852,124689738,13980,7141,6839,16561,8759,7802,8554,3965,398916,45,157,1903914,31750,1935664,2,782,1720,2980,2264,1704,1255,6234,5473,3861,18603,115976.0,17104.0,9411.0,7224.0,141095.0,1638.0,6982.0,261985.0,250218.0,156300.0,25823.0,534634.0,50608.0,109084.0,6304,21609,10751,13734,20545,40275,51619,67231,14137,39393,389025,5353,21853,118,1,5,26,11,150,1175,354,710,0,259.0,0,91,2330.0,1
13,2017,12335,100,22,5,17,297,33,196,68,191,1157091493,2043137209,38447457,69413265,6982147218,408,51491178,299025365,86115682,25257290,3562378,1639331,11294148,439005798,12054240,28032654,245618964,279815637,318919319,9013760,9493223,18278160,24216039,2603342,4758833,3483022,31722788,139486970,12354,6439,5915,16848,8837,8011,8049,4008,408451,45,156,1896424,31221,1927645,2,839,1727,2744,2311,2316,1255,6380,5762,4145,17632,118464.0,17597.0,9619.0,7600.0,144371.0,1638.0,7242.0,268304.0,251038.0,159685.0,28945.0,545419.0,51060.0,111493.0,6887,21280,9523,14423,22346,40818,53151,73146,14364,31177,388138,5590,8436,129,1,5,35,6,176,1267,342,714,0,210.0,0,88,2621.0,3
14,2019,12345,100,22,5,17,297,33,196,68,165,1160819992,2033294417,40420816,69578099,6961019663,408,50343575,304530663,88394124,25309623,3959012,1887674,12377481,446919595,11946266,28258451,245561798,280014278,319510172,9472462,9564156,19760631,24477268,2804135,4965055,3482310,31618406,154918950,10832,5517,5315,16787,8835,7952,7413,4130,422548,46,154,1868745,34638,1903383,2,884,1727,2986,2498,2442,1267,6481,5811,4304,18148,120600.0,18771.0,9985.0,7558.0,147471.0,1737.0,7706.0,274724.0,261869.0,166129.0,31203.0,563244.0,53035.0,117646.0,7232,21304,9999,15593,22996,42317,54097,78061,15368,32678,385371,5578,7978,141,1,8,55,14,219,1403,331,726,0,150.0,0,100,2710.0,1
15,2020,12348,100,22,5,17,297,33,196,68,192,1157147402,2025742026,40393483,69669346,6951315670,408,48865426,308405413,89151386,25263766,4133216,1917652,12804723,452915875,12083794,28303484,245979836,279765828,320887442,9808187,9712834,20882796,26107444,2866531,5050990,3482310,31594532,163840803,9738,4979,4759,17436,9163,8273,6365,3907,435880,47,153,1851549,32906,1884455,2,962,1732,3288,2756,2698,1266,6574,5913,4445,18613,123253.0,20234.0,10424.0,7972.0,151600.0,2005.0,8278.0,287310.0,277529.0,173148.0,36307.0,589225.0,58006.0,127063.0,7626,21365,10776,16984,25686,44138,55963,83770,16645,33861,319269,5624,12164,131,2,10,50,12,205,1305,287,670,0,133.0,0,77,2472.0,2
