,지역,토지면적(km),전남지역 구성비(%),행정구역(시+군),행정구역(시),행정구역(군),행정구역(읍+면+동),행정구역(읍),행정구역(면),행정구역(동)_행정,행정구역_(동)_법정,출생(남+여)(시군구별),출생(남)(시군구별),출생(여)(시군구별),출생(남+여)(시군구별).1,출생(남)(시군구별).1,출생(여)(시군구별).1,혼인(시군구별),이혼(시군구별),65세 이상 고령자 수(시군구별),평균연령(세)(시군구별),인구밀도(1/m2)(시군구별),한국인등록인구(시군구별),외국인등록인구(시군구별),등록인구총합(시군구별),"출판, 영상, 방송통신 및 정보서비스업(사업체수)",금융 및 보험업(사업체수),부동산업 및 임대업(사업체수),"전문, 과학 및 기술 서비스업(사업체수)",사업시설관리 및 사업지원 서비스업(사업체수),"공공행정, 국방 및 사회보장행정(사업체수)",교육서비스업(사업체수),보건업 및 사회복지 서비스업(사업체수),"예술, 스포츠 및 여가 관련 서비스업(사업체수)","협회 및 단체, 수리 및 기타 개인서비스업(사업체수)","출판, 영상, 방송통신 및 정보서비스업(종사자수)",금융 및 보험업(종사자수),부동산업 및 임대업(종사자수),"전문, 과학 및 기술 서비스업(종사자수)",사업시설관리 및 사업지원 서비스업(종사자수),"공공행정, 국방 및 사회보장행정(종사자수)",교육서비스업(종사자수),보건업 및 사회복지 서비스업(종사자수),"예술, 스포츠 및 여가 관련 서비스업(종사자수)","협회 및 단체, 수리 및 기타 개인서비스업(종사자수)",일시수용능력인원(사설학원),강사수(사설학원),강의실수(사설학원),직업기술(평생직업 교육학원 학원수),국제화(평생직업 교육학원 학원수),인문사회(평생직업 교육학원 학원수),기예(평생직업 교육학원 학원수),종합(평생직업 교육학원 학원수),합계(평생직업 교육학원 학원수),입시검정및보습(학교교과 교습학원 학원수),국제화(학교교과 교습학원 학원수),예능(학교교과 교습학원 학원수),특수교육(학교교과 교습학원 학원수),종합(학교교과 교습학원 학원수),정보(학교교과 교습학원 학원수),기타(학교교과 교습학원 학원수),합계(학교교과 교습학원 학원수),작은학교 수,전지(논)(km^2),답지(쌀캐는 땅)(km^2),과수원(km^2),목장용지(km^2),임  야(km^2),광천지(km^2),염  전(km^2),대  지(km^2),공장용지(km^2),학교용지(km^2),주차장(km^2),주유소용지(km^2),창고용지(km^2),도  로(km^2),철도용지(km^2),제  방(km^2),하  천(km^2),구  거(km^2),유  지(km^2),양어장(km^2),수도용지(km^2),공  원(km^2),체육용지(km^2),유원지(km^2),종교용지(km^2),사적지(km^2),묘  지(km^2),잡종지(km^2)
0,목포시,52,0,1,1,0,23,0,0,23,64,815,397,418,1761,976,785,681,426,42446,45,4221,214156,4191,218347,217,282,833,559,580,78,1082,796,747,3060,1175,3121,2303,2198,2017,5128,6854,14913,1662,4944,17345,1117,1988,19,0,4,5,1,29,232,43,89,0,12,0,8,384,3,6.417028,1.79336,0.0091,0.007744,10.878505,0.0,0.559682,12.143569,1.743619,1.488957,0.305664,0.089981,0.087899,7.011222,0.393664,0.165141,1.40037,0.635901,0.17005,0.006206,0.223487,1.551227,0.662251,0.02879,0.280781,0.0,0.149396,3.526242
1,여수시,512,4,1,1,0,27,1,6,20,51,1121,572,549,2337,1207,1130,1027,519,61135,47,543,271696,6405,278101,178,299,883,637,742,128,1249,891,817,3471,986,3238,2672,3255,6899,6014,7668,13093,2159,5425,20207,1000,2160,28,0,1,2,2,33,248,53,127,0,15,0,44,487,20,62.856749,38.047512,0.590367,1.866319,298.877617,0.0,0.002828,25.24132,21.272869,2.020523,0.596137,0.885331,0.398135,23.972376,1.624506,0.694198,2.672929,4.506119,2.776227,0.261395,0.607153,3.579256,3.565184,0.426761,0.473389,0.020795,1.758508,12.739684
2,순천시,911,7,1,1,0,24,1,10,13,33,1389,709,680,1966,1033,933,1061,491,50517,44,308,278137,2806,280943,242,382,1038,821,697,84,1488,896,929,3469,1296,4316,3072,3742,3533,4647,10146,15004,2581,5997,41343,1301,1982,29,0,6,14,4,53,247,71,139,0,21,0,35,513,11,54.178021,101.57001,2.367071,4.072542,614.690637,2.5e-05,1.041404,24.582321,4.691065,2.410713,0.489285,0.130503,0.829498,29.84109,2.057325,0.694462,13.002074,14.185181,24.424043,0.05314,0.502658,2.417455,3.368495,0.108877,0.49782,0.064447,1.787,6.981319
3,나주시,608,5,1,1,0,20,1,12,7,34,722,361,361,1210,604,606,487,217,28254,47,199,117377,3921,121298,325,104,541,450,336,75,556,448,322,1127,2663,1047,1274,3759,1615,3286,4666,6342,1190,1915,8886,479,929,13,1,0,16,3,33,105,24,46,0,5,0,1,181,12,60.962697,145.849622,14.03339,4.221723,231.426546,0.0,0.0,24.260731,4.163207,2.11621,0.218952,0.084403,0.724329,28.031995,0.841237,1.813605,33.420077,22.204207,17.653644,0.14359,0.191908,2.291759,3.865771,0.135364,0.287787,0.0177,1.76562,7.767686
4,광양시,465,4,1,1,0,12,1,6,5,10,827,400,427,916,457,459,689,317,23650,44,333,152666,2104,154770,136,109,473,349,440,62,695,467,489,1703,857,1131,1255,2578,6804,2985,4501,6871,1490,2867,7072,540,937,11,0,0,7,3,21,127,25,65,0,15,3,9,244,8,18.526091,44.546159,0.352813,0.899013,296.417951,0.0,0.050762,14.780513,24.582475,1.34199,0.405572,0.12233,1.147728,21.830404,1.816967,0.862304,12.531768,4.876471,3.60207,0.02562,0.894509,1.899853,0.552159,0.2191,0.192018,0.0,1.273096,11.114089
5,담양군,455,4,1,0,1,12,1,11,0,0,188,91,97,655,331,324,135,84,15373,53,102,45373,1247,46620,52,34,143,116,138,39,121,185,130,409,191,242,222,575,483,1428,1314,2587,474,629,822,36,87,2,0,0,0,0,2,11,0,5,0,1,0,0,17,9,25.355612,78.241331,0.954254,2.173199,272.543982,0.0,0.0,13.567932,2.134227,0.872127,0.212673,0.047932,0.446296,19.070734,0.104203,1.482545,9.757834,11.650763,8.265698,0.048033,0.077661,0.551175,1.140144,0.134878,0.196047,0.06562,1.292463,4.686138
6,곡성군,547,4,1,0,1,11,1,10,0,0,63,32,31,471,229,242,55,57,10576,57,50,26905,508,27413,28,24,36,68,63,32,92,128,89,311,99,256,43,268,157,1203,963,1791,436,451,532,28,58,0,0,0,0,0,0,9,2,1,0,3,0,0,15,6,28.63442,62.607626,1.082537,1.636642,393.094345,0.0,0.0,8.576927,1.456317,0.653433,0.065443,0.036244,0.297655,13.342696,0.594655,1.229382,13.851032,11.793769,3.248193,0.103439,0.052389,0.085919,1.059359,0.263514,0.210118,0.002034,1.277814,2.036928
7,구례군,443,4,1,0,1,8,1,7,0,0,51,32,19,411,194,217,48,47,9246,56,55,24314,210,24524,26,29,47,59,48,31,87,102,73,299,132,192,68,207,144,852,641,1448,312,496,769,37,62,1,0,0,0,0,1,14,2,4,0,0,0,0,20,8,18.87924,40.849526,0.714153,0.784076,339.781327,2e-05,0.0,7.529907,0.352286,0.528811,0.087175,0.010448,0.179824,10.427472,0.0,0.566172,11.689434,6.378893,1.953601,0.006911,0.027269,0.173578,0.211476,0.113301,0.227453,0.01442,0.599182,0.878582
8,고흥군,807,7,1,0,1,16,2,14,0,0,164,79,85,1158,548,610,148,108,27061,58,78,61113,1689,62802,41,79,58,105,86,55,181,230,167,775,182,686,93,380,213,1882,1414,3076,354,1094,2371,72,172,2,0,0,0,0,2,18,12,13,0,0,0,1,44,17,80.214953,155.793969,2.493763,2.740379,450.099319,0.0,0.231158,17.127706,0.869278,1.417764,0.109965,0.056718,1.154125,28.505671,0.0,2.114568,7.594197,17.988318,27.739964,0.484465,0.196962,0.123972,0.195336,0.033756,0.301179,0.023468,1.873218,7.68992
9,보성군,665,5,1,0,1,12,2,10,0,0,103,52,51,751,384,367,85,67,15952,57,58,37686,799,38485,28,49,33,64,57,56,120,154,86,444,124,328,60,166,174,1430,1117,2217,273,627,216,48,187,0,0,0,0,1,1,14,2,6,0,0,0,1,23,14,48.704409,109.530647,2.391909,1.754304,410.018991,0.0,0.165242,14.519057,0.658792,0.940236,0.103525,0.05367,0.527705,24.137121,0.911472,1.480708,8.932938,14.481891,17.977671,0.209873,0.076545,0.08118,1.086598,0.051458,0.227235,0.0,1.176984,4.394465
