시도교육청,교육지원청,학교명,설립구분,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,작은학교여부,지역(시),지역(구)
전라남도교육청,전라남도목포교육지원청,광주교육대학교목포부설초등학교,국립,3,3,3,3,3,3,1,0,19,394,20.7,0,전라남도,목포시
전라남도교육청,전라남도강진교육지원청,강진동초등학교,공립,1,1,1,1,1,1,1,0,7,54,7.7,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,강진중앙초등학교,공립,5,5,6,5,4,4,1,0,30,608,20.3,0,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,계산초등학교,공립,1,1,1,1,1,1,1,0,7,52,7.4,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,군동초등학교,공립,1,1,1,1,1,1,1,0,7,30,4.3,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,대구초등학교,공립,0,1,1,1,1,1,0,0,5,22,4.4,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,도암초등학교,공립,1,1,1,1,1,1,1,0,7,23,3.3,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,마량초등학교,공립,1,1,1,1,1,1,1,0,7,28,4.0,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,병영초등학교,공립,0,1,1,1,1,1,0,0,5,24,4.8,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,성전초등학교,공립,1,1,1,1,1,1,1,0,7,28,4.0,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,신전초등학교,공립,1,1,1,1,1,1,1,0,7,31,4.4,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,옴천초등학교,공립,0,1,1,1,1,1,1,0,6,18,3.0,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,작천초등학교,공립,1,1,1,1,1,1,1,0,7,21,3.0,1,전라남도,강진군
전라남도교육청,전라남도강진교육지원청,칠량초등학교,공립,1,1,1,1,1,1,1,0,7,38,5.4,1,전라남도,강진군
전라남도교육청,전라남도고흥교육지원청,고흥동초등학교,공립,4,6,5,4,5,6,2,0,32,656,20.5,0,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,과역초등학교,공립,1,1,1,1,1,1,1,0,7,47,6.7,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,금산초등학교,공립,1,1,1,1,1,1,1,0,7,59,8.4,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,남양초등학교,공립,1,1,1,1,1,1,0,0,6,17,2.8,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,녹동초등학교,공립,3,2,2,2,3,2,2,0,16,288,18.0,0,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,대서초등학교,공립,1,1,1,1,1,1,0,0,6,17,2.8,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,도덕초등학교,공립,1,1,1,1,1,1,1,0,7,35,5.0,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,도화초등학교,공립,1,1,1,1,1,1,1,0,7,38,5.4,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,동강초등학교,공립,1,1,1,1,1,1,1,0,7,52,7.4,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,두원초등학교,공립,1,1,1,1,1,1,0,0,6,34,5.7,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,백양초등학교,공립,1,1,1,1,1,0,0,0,5,16,3.2,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,봉래초등학교,공립,1,1,1,1,1,1,1,0,7,36,5.1,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,영남초등학교,공립,1,1,1,1,1,1,0,0,6,27,4.5,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,점암초등학교,공립,1,1,1,1,1,1,0,0,6,19,3.2,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,포두초등학교,공립,1,1,1,1,1,1,1,0,7,57,8.1,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,풍남초등학교,공립,1,1,1,1,1,1,0,0,6,21,3.5,1,전라남도,고흥군
전라남도교육청,전라남도고흥교육지원청,풍양초등학교,공립,1,1,1,1,1,1,1,0,7,32,4.6,1,전라남도,고흥군
전라남도교육청,전라남도곡성교육지원청,고달초등학교,공립,1,1,1,1,1,1,1,0,7,31,4.4,1,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,곡성중앙초등학교,공립,3,3,3,2,3,3,2,0,19,322,16.9,0,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,삼기초등학교,공립,1,1,1,1,1,1,1,0,7,27,3.9,1,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,석곡초등학교,공립,1,1,1,1,1,1,1,0,7,57,8.1,1,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,오산초등학교,공립,1,1,1,1,1,1,1,0,7,33,4.7,1,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,옥과초등학교,공립,1,1,2,2,2,2,2,0,12,150,12.5,0,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,입면초등학교,공립,1,1,1,1,1,1,1,0,7,39,5.6,1,전라남도,곡성군
전라남도교육청,전라남도곡성교육지원청,죽곡초등학교,공립,1,1,1,1,1,1,1,0,7,31,4.4,1,전라남도,곡성군
전라남도교육청,전라남도광양교육지원청,골약초등학교,공립,2,2,2,2,1,1,0,0,10,127,12.7,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양가야초등학교,공립,2,2,2,2,2,3,2,0,15,284,18.9,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양마로초등학교,공립,4,5,5,5,5,5,1,0,30,606,20.2,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양덕례초등학교,공립,4,4,4,4,4,4,2,0,26,480,18.5,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양동초등학교,공립,1,1,1,1,1,1,2,0,8,49,6.1,1,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양마동초등학교,공립,4,5,6,5,6,6,0,0,32,773,24.2,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양북초등학교,공립,1,1,1,1,1,1,1,0,7,82,11.7,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양서초등학교,공립,2,1,2,2,2,1,2,0,12,169,14.1,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양제철남초등학교,사립,3,3,3,3,3,3,0,0,18,394,21.9,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양제철초등학교,사립,1,1,2,2,2,2,0,0,10,226,22.6,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양중동초등학교,공립,2,2,3,2,3,3,2,0,17,291,17.1,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양중마초등학교,공립,3,3,4,4,4,4,3,0,25,460,18.4,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양중앙초등학교,공립,3,4,3,4,4,4,2,0,24,513,21.4,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광양중진초등학교,공립,3,3,4,4,4,6,2,0,26,573,22.0,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,광영초등학교,공립,2,2,2,2,2,2,1,0,13,228,17.5,0,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,다압초등학교,공립,1,1,1,0,1,1,1,0,6,17,2.8,1,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,봉강초등학교,공립,1,1,1,1,1,1,2,0,8,58,7.3,1,전라남도,광양시
전라남도교육청,전라남도광양교육지원청,성황초등학교,공립,5,5,5,5,4,4,2,0,30,653,21.8,0,전라남도,광양시
