기관명,주소,우편번호,위도,경도,학교명,학생수(계),작은학교여부
목포서산초등학교,"전라남도 목포시 유달로 28 (서산동,목포서산초등학교)",58758,34.78209433,126.374877,목포서산초등학교,32,1
목포유달초등학교달리분교장,"전라남도 목포시 달리길157번길 35 (달동,유달초등학교달리분교)",58761,34.77492772,126.3135412,목포유달초등학교달리분교장,1,1
망운초등학교,"전라남도 무안군 망운면 망운로 34 (망운면,망운초등학교)",58534,35.01627831,126.393733,망운초등학교,28,1
몽탄초등학교,"전라남도 무안군 몽탄면 몽탄로 878 (몽탄면,몽탄초교)",58546,34.92937501,126.5015002,몽탄초등학교,21,1
삼향북초등학교,"전라남도 무안군 삼향읍 원지산길 66 (삼향읍,삼향북초등학교)",58558,34.87964218,126.4198651,삼향북초등학교,39,1
운남초등학교,"전라남도 무안군 운남면 운해로 543 (운남면,운남초등학교)",58537,34.95953794,126.3382734,운남초등학교,45,1
일로동초등학교,"전라남도 무안군 일로읍 광암길 81-7 (일로읍,일로동초교)",58570,34.87289919,126.5089418,일로동초등학교,45,1
일로초등학교청망분교장,"전라남도 무안군 일로읍 청포로 421 (일로읍,일로초교청망분교장)",58577,34.79300776,126.5030085,일로초등학교청망분교장,9,1
청계남초등학교,"전라남도 무안군 청계면 문화로 105 (청계면,청계남초등학교)",58555,34.88436085,126.4372989,청계남초등학교,42,1
청계북초등학교,"전라남도 무안군 청계면 사마길 8 (청계면,청계북초등학교)",58545,34.95758395,126.4464073,청계북초등학교,35,1
해제남초등학교,"전라남도 무안군 해제면 돌기길 5 (해제면,해제남초등학교)",58508,35.08244469,126.2955581,해제남초등학교,15,1
현경북초등학교,"전라남도 무안군 현경면 현해로 757 (현경면,현경북초등학교)",58509,35.05993415,126.3609451,현경북초등학교,28,1
겸백초등학교,전라남도 보성군 겸백면 충의로 2496 겸백초등학교,59411,34.83142371,127.1510838,겸백초등학교,15,1
낙성초등학교,"전라남도 보성군 벌교읍 채동선로 706 , 낙성초등학교",59413,34.87688234,127.3137965,낙성초등학교,34,1
다압초등학교,"전라남도 광양시 다압면 항동3길 10 (다압면,다압초등학교)",57709,35.12126637,127.6914757,다압초등학교,17,1
